WARNING 2026-04-06 23:05:25,746 log "GET /api/inventory/suppliers/?page=1&page_size=7 HTTP/1.1" 401 172
INFO 2026-04-06 23:15:02,766 log "POST /api/token/ HTTP/1.1" 200 558
INFO 2026-04-06 23:15:04,844 log "OPTIONS /api/purchases/purchase-orders/?page=1&page_size=10 HTTP/1.1" 200 0
INFO 2026-04-06 23:15:04,846 log "OPTIONS /api/inventory/suppliers/?page_size=100 HTTP/1.1" 200 0
INFO 2026-04-06 23:15:04,849 log "OPTIONS /api/purchases/purchase-orders/?page=1&page_size=10 HTTP/1.1" 200 0
INFO 2026-04-06 23:15:04,850 log "OPTIONS /api/inventory/suppliers/?page_size=100 HTTP/1.1" 200 0
INFO 2026-04-06 23:15:04,860 log "GET /api/purchases/purchase-orders/?page=1&page_size=10 HTTP/1.1" 200 52
INFO 2026-04-06 23:15:04,871 log "GET /api/purchases/purchase-orders/?page=1&page_size=10 HTTP/1.1" 200 52
INFO 2026-04-06 23:15:04,886 log "GET /api/inventory/suppliers/?page_size=100 HTTP/1.1" 200 1292
INFO 2026-04-06 23:15:04,889 log "OPTIONS /api/inventory/raw-materials/?page_size=100 HTTP/1.1" 200 0
INFO 2026-04-06 23:15:04,901 log "GET /api/inventory/suppliers/?page_size=100 HTTP/1.1" 200 1292
INFO 2026-04-06 23:15:04,928 log "GET /api/inventory/raw-materials/?page_size=100 HTTP/1.1" 200 5435
INFO 2026-04-06 23:15:04,961 log "GET /api/inventory/raw-materials/?page_size=100 HTTP/1.1" 200 5435
INFO 2026-04-06 23:19:34,455 log "OPTIONS /api/purchases/purchase-orders/last_price/?material_id=24 HTTP/1.1" 200 0
INFO 2026-04-06 23:19:34,468 log "GET /api/purchases/purchase-orders/last_price/?material_id=24 HTTP/1.1" 200 10
INFO 2026-04-06 23:20:00,987 log "OPTIONS /api/purchases/purchase-orders/last_price/?material_id=11 HTTP/1.1" 200 0
INFO 2026-04-06 23:20:00,995 log "GET /api/purchases/purchase-orders/last_price/?material_id=11 HTTP/1.1" 200 10
INFO 2026-04-06 23:20:35,444 log "OPTIONS /api/purchases/purchase-orders/last_price/?material_id=9 HTTP/1.1" 200 0
WARNING 2026-04-06 23:20:35,447 log Unauthorized: /api/purchases/purchase-orders/last_price/
WARNING 2026-04-06 23:20:35,447 log "GET /api/purchases/purchase-orders/last_price/?material_id=9 HTTP/1.1" 401 172
INFO 2026-04-06 23:20:37,462 log "POST /api/token/ HTTP/1.1" 200 558
INFO 2026-04-06 23:20:39,086 log "GET /api/purchases/purchase-orders/?page=1&page_size=10 HTTP/1.1" 200 52
INFO 2026-04-06 23:20:39,095 log "GET /api/inventory/suppliers/?page_size=100 HTTP/1.1" 200 1292
INFO 2026-04-06 23:20:39,098 log "GET /api/purchases/purchase-orders/?page=1&page_size=10 HTTP/1.1" 200 52
INFO 2026-04-06 23:20:39,112 log "GET /api/inventory/suppliers/?page_size=100 HTTP/1.1" 200 1292
INFO 2026-04-06 23:20:39,146 log "GET /api/inventory/raw-materials/?page_size=100 HTTP/1.1" 200 5435
INFO 2026-04-06 23:20:39,197 log "GET /api/inventory/raw-materials/?page_size=100 HTTP/1.1" 200 5435
INFO 2026-04-06 23:20:55,979 log "OPTIONS /api/purchases/purchase-orders/last_price/?material_id=10 HTTP/1.1" 200 0
INFO 2026-04-06 23:20:55,987 log "GET /api/purchases/purchase-orders/last_price/?material_id=10 HTTP/1.1" 200 10
INFO 2026-04-06 23:22:26,646 log "GET /api/purchases/purchase-orders/last_price/?material_id=11 HTTP/1.1" 200 10
INFO 2026-04-06 23:22:30,433 log "OPTIONS /api/purchases/purchase-orders/last_price/?material_id=8 HTTP/1.1" 200 0
INFO 2026-04-06 23:22:30,442 log "GET /api/purchases/purchase-orders/last_price/?material_id=8 HTTP/1.1" 200 10
INFO 2026-04-06 23:26:22,362 log "OPTIONS /api/purchases/purchase-orders/ HTTP/1.1" 200 0
WARNING 2026-04-06 23:26:22,364 log Unauthorized: /api/purchases/purchase-orders/
